"plot";"abbr";"layer";"cov";"voucher";"comment";"history"
"H1-09";"acer pseu";"hl";1;;;
"H1-09";"agro capi";"hl";2;;;
"H1-09";"apos foet";"hl";1;;;
"H1-09";"berb vulg";"hl";2;;;
"H1-09";"bisc laev laev";"hl";3;;;
"H1-09";"briz medi";"hl";3;;;
"H1-09";"cala vari";"hl";2;;;
"H1-09";"care cary";"hl";4;;;
"H1-09";"care flac";"hl";3;;;
"H1-09";"care orni orni";"hl";2;;;
"H1-09";"care pani";"hl";4;;;
"H1-09";"cent jace jace";"hl";3;;;
"H1-09";"ceph long";"hl";1;;;
"H1-09";"chae hirs";"hl";1;;;" | Changed chae hirs hirs To chae hirs 2012-11-27 18:47:00"
"H1-09";"cirs vulg";"hl";1;;;
"H1-09";"dact macu slat";"hl";1;;;" | Changed dact macu fuch To dact macu slat 2012-11-27 18:47:00"
"H1-09";"desc cesp";"hl";3;;;
"H1-09";"euph cypa";"hl";2;;;
"H1-09";"fest nigr cens";"hl";3;;;" | Changed fest nigr To fest nigr cens 2012-11-27 18:46:57"
"H1-09";"fest prat prat";"hl";3;;;
"H1-09";"fest rubr rubr";"hl";3;;;
"H1-09";"frag vesc";"hl";2;;;
"H1-09";"fran alnu";"hl";1;;;
"H1-09";"gent ascl";"hl";1;;;
"H1-09";"junc arti";"hl";1;;;
"H1-09";"leon hisp hyos";"hl";4;;;
"H1-09";"leuc ircu";"hl";2;;;
"H1-09";"list ovat";"hl";3;;;
"H1-09";"lotu corn corn";"hl";3;;;
"H1-09";"moli caer";"hl";1;;;
"H1-09";"pers vivi";"hl";2;;;" | Changed poly vivi To pers vivi 2012-11-27 18:46:56"
"H1-09";"phle prat";"hl";2;;;" | Changed phle prat prat To phle prat 2012-11-27 18:47:00"
"H1-09";"pimp majo slat";"hl";3;;;" | Changed pimp majo To pimp majo slat 2012-11-27 18:46:56"
"H1-09";"plan lanc";"hl";3;;;
"H1-09";"plan majo majo";"hl";1;;;" | Changed plan majo To plan majo majo 2012-11-27 18:46:59"
"H1-09";"poly amar ella";"hl";3;;;" | Changed poly amar To poly amar ella 2012-11-27 18:46:56"
"H1-09";"prim elat";"hl";1;;;" | Changed prim elat elat To prim elat 2012-11-27 18:47:00"
"H1-09";"prim fari";"hl";2;;;
"H1-09";"prun vulg";"hl";4;;;
"H1-09";"ranu nemo";"hl";3;;;
"H1-09";"tara sect alpi";"hl";2;;;
"H1-09";"tara sect rude";"hl";1;;;
"H1-09";"thym prae prae";"hl";2;;;
"H1-09";"viol hirt";"hl";2;;;
"H1-10";"acer pseu";"hl";1;;;
"H1-10";"ajug rept";"hl";3;;;
"H1-10";"apos foet";"hl";3;;;
"H1-10";"bell pere";"hl";2;;;
"H1-10";"brac sylv";"hl";3;;;
"H1-10";"briz medi";"hl";3;;;
"H1-10";"care alba";"hl";5;;;
"H1-10";"care cary";"hl";3;;;
"H1-10";"care flac";"hl";3;;;
"H1-10";"care orni orni";"hl";3;;;
"H1-10";"care pani";"hl";5;;;
"H1-10";"care sylv";"hl";2;;;
"H1-10";"cent jace jace";"hl";3;;;
"H1-10";"dact glom glom";"hl";3;;;" | Changed dact glom To dact glom glom 2012-11-27 18:46:56"
"H1-10";"daph meze";"hl";2;;;
"H1-10";"eric carn";"hl";2;;;
"H1-10";"euph cypa";"hl";3;;;
"H1-10";"fest prat prat";"hl";2;;;
"H1-10";"frag vesc";"hl";3;;;
"H1-10";"fran alnu";"hl";2;;;
"H1-10";"gali albu";"hl";2;;;
"H1-10";"leon hisp hyos";"hl";3;;;
"H1-10";"list ovat";"hl";2;;;
"H1-10";"lotu corn corn";"hl";2;;;
"H1-10";"parn palu";"hl";2;;;
"H1-10";"pers vivi";"hl";3;;;" | Changed poly vivi To pers vivi 2012-11-27 18:46:56"
"H1-10";"pimp majo slat";"hl";3;;;" | Changed pimp majo To pimp majo slat 2012-11-27 18:46:56"
"H1-10";"plan lanc";"hl";3;;;
"H1-10";"poly amar ella";"hl";3;;;" | Changed poly amar To poly amar ella 2012-11-27 18:46:56"
"H1-10";"pote erec";"hl";4;;;
