plot;abbr;layer;cov;voucher.flag;voucher;sheets;history
tc41a;sile vulg vulg;hl;+;;;; | Changed sile vulg v To sile vulg vulg 2012-11-27 16:08:04
tc41a;tara sect rude;hl;+;;;; | Changed tara offi To tara sect rude 2012-11-27 16:08:04
tc41a;thal minu slat;hl;+;;;; | Changed thal minu To thal minu slat 2012-11-27 16:08:05
tc41a;trag orie;hl;1;;;;
tc41a;trif prat prat;hl;1;;;; | Changed trif prat p To trif prat prat 2012-11-27 16:12:27
tc41a;tris flav flav;hl;1;;;; | Changed tris flav To tris flav flav 2012-11-27 16:08:04
tc41a;vici crac;hl;+;;;;
tc41a;vici sepi;hl;1;;;;
tc42a;achi mill aggr;hl;+;voucher;1;2; | Changed achi mill m To achi mill aggr 2012-11-27 16:08:03
tc42a;arrh elat;hl;1;;;;
tc42a;brac pinn;hl;+;;;;
tc42a;brac rupe;hl;1;;;;
tc42a;brom erec;hl;2b;;;;
tc42a;camp glom;hl;+;;;;
tc42a;care cary;hl;+;;;;
tc42a;cent jace jace;hl;+;;;; | Changed cent jace To cent jace jace 2012-11-27 16:08:04
tc42a;cent scab scab;hl;+;;;; | Changed cent scab To cent scab scab 2012-11-27 16:08:04
tc42a;conv arve;hl;+;;;;
tc42a;secu vari;hl;+;;;; | Changed coro vari To secu vari 2012-11-27 16:08:08
tc42a;dian cart cart;hl;r;;;; | Changed dian cart To dian cart cart 2012-11-27 16:08:05
tc42a;dian sylv;hl;r;;;;
tc42a;fest brev;hl;2a;voucher;2;4;
tc42a;fest gues;hl;2a;voucher;6;;
tc42a;fest stri sulc;hl;+;;;; | Changed fest rupi To fest stri sulc 2012-11-27 16:08:08
tc42a;gali albu;hl;+;;;;
tc42a;heli numm numm;hl;+;;;; | Changed heli numm To heli numm numm 2012-11-27 16:08:06
tc42a;aven prae;hl;+;;;; | Changed heli prae To aven prae 2012-11-27 16:08:05
tc42a;knau arve arve;hl;+;;;; | Changed knau arve To knau arve arve 2012-11-27 16:08:04
tc42a;medi falc;hl;1;;;;
tc42a;onob vici;hl;+;;;;
tc42a;pimp saxi slat;hl;+;;;; | Changed pimp saxi To pimp saxi slat 2012-11-27 16:08:06
tc42a;plan lanc;hl;+;;;;
tc42a;plan medi;hl;+;;;;
tc42a;ranu bulb;hl;+;;;;
tc42a;salv prat prat;hl;2m;;;; | Changed salv prat To salv prat prat 2012-11-27 16:08:04
tc42a;sang mino mino;hl;+;;;; | Changed sang mino mi To sang mino mino 2012-11-27 16:08:06
tc42a;sile vulg vulg;hl;+;;;; | Changed sile vulg v To sile vulg vulg 2012-11-27 16:08:04
tc42a;vinc hiru;hl;+;;;;
tc43a;achn cala;hl;2a;;;;
tc43a;alnu inca;sl;+;;;;
tc43a;aspe cyna;hl;+;;;;
tc43a;betu pend;sl;1;;;;
tc43a;brom erec;hl;2a;;;;
tc43a;buph sali;hl;+;;;;
tc43a;camp coch;hl;+;;;;
tc43a;care humi;hl;+;;;;
tc43a;corn sang slat;hl;+;;;; | Changed corn sang To corn sang slat 2012-11-27 16:08:03
tc43a;corn sang slat;sl;+;;;; | Changed corn sang To corn sang slat 2012-11-27 16:08:03
tc43a;secu vari;hl;+;;;; | Changed coro vari To secu vari 2012-11-27 16:08:08
tc43a;cory avel;hl;+;;;;
tc43a;cory avel;sl;+;;;;
tc43a;dauc caro caro;hl;+;;;; | Changed dauc caro To dauc caro caro 2012-11-27 14:15:27
tc43a;epip atro;hl;+;;;;
tc43a;fran alnu;sl;1;;;;
tc43a;gali veru;hl;+;;;;
tc43a;hier bifi;hl;+;;;;
tc43a;chlo stat;hl;1;;;; | Changed hier stat To chlo stat 2012-11-27 16:08:08
tc43a;juni comm comm;hl;+;;;; | Changed juni comm c To juni comm comm 2012-11-27 16:08:03
tc43a;ligu vulg;sl;r;;;;
tc43a;lotu corn;hl;+;;;;
tc43a;onob vici;hl;+;;;;
tc43a;pinu sylv;hl;1;;;;
tc43a;pinu sylv;sl;2b;;;;
tc43a;pinu sylv;tl;2a;;;;
tc43a;plan mari;hl;r;;;;
tc43a;popu trem;sl;1;;;;
tc43a;rosa rubi;hl;+;;;;
tc43a;sali elea elea;sl;2a;;;; | Changed sali elea To sali elea elea 2012-11-27 16:08:07
tc43a;sali elea elea;tl;1;;;; | Changed sali elea To sali elea elea 2012-11-27 16:08:07
tc43a;salv prat prat;hl;+;;;; | Changed salv prat To salv prat prat 2012-11-27 16:08:04
tc43a;scab colu;hl;r;;;;
tc43a;sorb aria;sl;+;;;;
tc43a;thes rost;hl;+;voucher;24;;
tc43a;thym prae prae;hl;+;;;; | Changed thym prae To thym prae prae 2012-11-27 16:08:07
tc44a;alli lusi;hl;+;;;; | Changed alli mont To alli lusi 2012-11-27 16:08:08
tc44a;anth ramo;hl;2a;;;;
tc44a;anth vuln slat;hl;+;;;; | Changed anth vuln To anth vuln slat 2012-11-27 16:08:03
tc44a;aspe tinc;hl;2m;voucher;20;;
tc44a;brac rupe;hl;2a;;;;
tc44a;brom erec;hl;1;;;;
tc44a;care humi;hl;2a;;;;
tc44a;fest amet amet;hl;+;;;; | Changed fest amet To fest amet amet 2012-11-27 16:08:04
tc44a;fest brev;hl;2a;voucher;5;2;
tc44a;gali bore;hl;+;;;;
tc44a;gali wirt;hl;+;;;;
tc44a;gera sang;hl;+;;;;
tc44a;glob bisn;hl;+;;;;
tc44a;aven prae;hl;+;;;; | Changed heli prae To aven prae 2012-11-27 16:08:05
tc44a;hype perf;hl;+;;;;
tc44a;koel pyra pyra;hl;1;;;; | Changed koel pyra To koel pyra pyra 2012-11-27 16:08:04
tc44a;lase lati lati;hl;r;;;; | Changed lase lati To lase lati lati 2012-11-27 16:08:08
tc44a;lase sile sile;hl;3;;;; | Changed lase sile To lase sile sile 2012-11-27 16:08:08
tc44a;lili bulb bulb;hl;+;;;; | Changed lili bulb To lili bulb bulb 2012-11-27 16:08:06
tc44a;meli nuta;hl;+;;;;
tc44a;peuc oreo;hl;1;;;;
tc44a;poly odor;hl;2m;;;;
tc44a;salv prat prat;hl;+;;;; | Changed salv prat To salv prat prat 2012-11-27 16:08:04
tc44a;scab colu;hl;+;;;;
tc44a;sile nuta nuta;hl;+;;;; | Changed sile nuta To sile nuta nuta 2012-11-27 16:08:04
tc44a;teuc cham;hl;+;;;;
tc44a;thal minu slat;hl;2a;;;; | Changed thal minu To thal minu slat 2012-11-27 16:08:05
tc44a;vinc hiru;hl;+;;;;
tc44a;viol hirt;hl;+;;;;
tc4a;achn cala;hl;2m;;;;
tc4a;anth ramo;hl;+;;;;
tc4a;berb vulg;hl;+;;;;
tc4a;both isch;hl;+;;;; | Changed botr isch To both isch 2012-11-27 16:08:08
tc4a;brac rupe;hl;1;;;;
tc4a;buph sali;hl;+;;;;
tc4a;card defl viri;hl;+;;;; | Changed card defl To card defl viri 2012-11-27 16:08:03
tc4a;care humi;hl;2a;;;;
tc4a;dian sylv;hl;+;;;;
tc4a;dory germ;hl;+;;;;
tc4a;eric carn;hl;+;;;; | Changed eric herb To eric carn 2012-11-27 16:08:03
tc4a;fran alnu;hl;+;;;;
tc4a;gali luci;hl;+;;;;
tc4a;glob bisn;hl;r;voucher;25;;
tc4a;grim tere;ml;+;;;;
tc4a;juni comm comm;sl;+;;;; | Changed juni comm c To juni comm comm 2012-11-27 16:08:03
tc4a;leon inca;hl;+;;;;
tc4a;peuc oreo;hl;1;;;;
tc4a;pinu sylv;sl;1;;;;
tc4a;poly odor;hl;1;;;;
tc4a;pote caul;hl;+;;;;
tc4a;pote pusi;hl;r;;;;
tc4a;rham saxa saxa;hl;+;;;; | Changed rham saxa To rham saxa saxa 2012-11-27 16:08:08
tc4a;sesl caer;hl;1;;;; | Changed sesl vari To sesl caer 2012-11-27 16:08:05
tc4a;teuc mont;hl;+;;;;
tc4a;thym prae prae;hl;+;;;; | Changed thym prae To thym prae prae 2012-11-27 16:08:07
tc4a;tort tort;ml;1;;;;
tc4a;vinc hiru;hl;+;;;;
tc5a;achn cala;hl;1;;;;
tc5a;agro stol;hl;+;;;;
tc5a;alnu inca;hl;2a;;;;
tc5a;alnu inca;sl;3;;;;
tc5a;alnu inca;tl;3;;;;
tc5a;arrh elat;hl;+;;;;
tc5a;arte vulg;hl;r;;;;
tc5a;berb vulg;hl;1;;;;
tc5a;berb vulg;sl;1;;;;
tc5a;brac sylv;hl;1;;;;
tc5a;care humi;hl;1;;;;
tc5a;cirs vulg;hl;+;;;;
tc5a;clem vita;hl;2b;;;;
tc5a;clem vita;sl;2a;;;;
tc5a;clem vita;tl;+;;;;
tc5a;erig cana;hl;1;;;; | Changed cony cana To erig cana 2012-11-27 16:08:08
tc5a;corn sang slat;hl;2m;;;; | Changed corn sang To corn sang slat 2012-11-27 16:08:03
tc5a;crat mono;sl;+;;;;
tc5a;dact glom glom;hl;+;;;; | Changed dact glom To dact glom glom 2012-11-27 16:12:26
tc5a;elym cani;hl;1;;;;
tc5a;epip hell slat;hl;r;;;; | Changed epip hell To epip hell slat 2012-11-27 16:08:03
tc5a;erig annu slat;hl;+;;;; | Changed erig annu To erig annu slat 2012-11-27 16:08:03
tc5a;eurh stri;ml;2b;;;;
tc5a;fest rubr slat;hl;+;;;; | Changed fest rubr r To fest rubr slat 2012-11-27 16:08:05
tc5a;fran alnu;sl;1;;;;
tc5a;frax exce;sl;+;;;;
tc5a;gali albu;hl;1;;;;
tc5a;gera robe;hl;+;;;;
tc5a;hede heli;hl;3;;;;
tc5a;hera spho spho;hl;+;;;; | Changed hera spho s To hera spho spho 2012-11-27 16:12:27
tc5a;ligu vulg;hl;+;;;;
tc5a;ligu vulg;sl;+;;;;
tc5a;loni xylo;hl;1;;;;
tc5a;loni xylo;sl;2a;;;;
tc5a;meli nuta;hl;1;;;;
tc5a;musc spec ies;hl;r;;;; | Changed musc sp To musc spec ies 2012-11-27 16:12:31
tc5a;lact mura;hl;+;;;; | Changed myce mura To lact mura 2012-11-27 16:08:07
tc5a;pice abie;sl;r;;;;
tc5a;pice abie;tl;r;;;;
tc5a;pinu sylv;hl;+;;;;
tc5a;pinu sylv;tl;1;;;;
tc5a;plag nium undu;ml;2a;;;;
tc5a;poa triv;hl;1;;;;
tc5a;prun aviu slat;sl;r;;;; | Changed prun aviu To prun aviu slat 2012-11-27 16:08:03
tc5a;prun padu padu;hl;1;;;; | Changed prun padu To prun padu padu 2012-11-27 16:08:06
tc5a;prun padu padu;sl;2a;;;; | Changed prun padu To prun padu padu 2012-11-27 16:08:06
tc5a;prun padu padu;tl;+;;;; | Changed prun padu To prun padu padu 2012-11-27 16:08:06
tc5a;rham cath;sl;+;;;;
tc5a;rosa arve;hl;r;;;;
tc5a;rosa rubi;sl;r;;;;
tc5a;rubu caes;hl;2b;;;;
tc5a;soli cana;hl;+;;;;
tc5a;soli virg virg;hl;2m;;;; | Changed soli virg To soli virg virg 2012-11-27 16:08:03
tc5a;tara sect rude;hl;1;;;; | Changed tara offi To tara sect rude 2012-11-27 16:08:04
tc5a;vale trip;hl;+;;;;
tc5a;vero urti;hl;1;;;;
tc5a;vibu lant;hl;+;;;;
tc5a;vibu lant;sl;+;;;;
tc6a;acer pseu;hl;+;;;;
tc6a;aego poda;hl;+;;;;
tc6a;elyt repe;hl;+;;;; | Changed agro repe To elyt repe 2012-11-27 16:08:08
tc6a;berb vulg;hl;1;;;;
tc6a;berb vulg;sl;1;;;;
tc6a;brac sylv;hl;+;;;;
tc6a;camp rapu rapu;hl;+;;;;
tc6a;care alba;hl;1;;;;
tc6a;cirs vulg;hl;r;;;;
tc6a;clem vita;hl;2m;;;;
tc6a;clem vita;sl;1;;;;
tc6a;clem vita;tl;1;;;;
tc6a;corn sang slat;hl;+;;;; | Changed corn sang To corn sang slat 2012-11-27 16:08:03
tc6a;corn sang slat;sl;+;;;; | Changed corn sang To corn sang slat 2012-11-27 16:08:03
tc6a;cory avel;sl;2b;;;;
tc6a;crat mono;sl;+;;;;
tc6a;dact glom glom;hl;+;;;; | Changed dact glom To dact glom glom 2012-11-27 16:12:26
tc6a;epip hell slat;hl;+;;;; | Changed epip hell To epip hell slat 2012-11-27 16:08:03
tc6a;erig annu slat;hl;+;;;; | Changed erig annu To erig annu slat 2012-11-27 16:08:03
tc6a;frag mosc;hl;+;;;;
tc6a;frax exce;hl;+;;;;
tc6a;frax exce;tl;+;;;;
tc6a;gali albu;hl;1;;;;
tc6a;heme fulv;hl;+;;;;
tc6a;jugl regi;hl;+;;;;
tc6a;jugl regi;sl;+;;;;
tc6a;lari deci deci;tl;1;;;; | Changed lari deci To lari deci deci 2012-11-27 16:08:03
tc6a;ligu vulg;hl;+;;;;
tc6a;loni xylo;sl;+;;;;
tc6a;meli nuta;hl;1;;;;
tc6a;part inse;hl;2b;;;;
tc6a;part inse;sl;1;;;;
tc6a;pice abie;hl;+;;;;
tc6a;pinu sylv;tl;2a;;;;
tc6a;prun aviu slat;tl;+;;;; | Changed prun aviu To prun aviu slat 2012-11-27 16:08:03
tc6a;prun cera ifera;sl;2m;;;; | Changed prun cers To prun cera ifera 2012-11-27 16:08:07
tc6a;prun padu padu;hl;+;;;; | Changed prun padu To prun padu padu 2012-11-27 16:08:06
tc6a;prun padu padu;sl;1;;;; | Changed prun padu To prun padu padu 2012-11-27 16:08:06
tc6a;pter aqui;hl;+;;;;
tc6a;robi pseu;sl;2a;;;;
tc6a;robi pseu;tl;3;;;;
tc6a;sali capr;sl;+;;;;
tc6a;sali capr;tl;1;;;;
tc6a;samb nigr;sl;2b;;;;
tc6a;soli virg virg;hl;+;;;; | Changed soli virg To soli virg virg 2012-11-27 16:08:03
tc6a;urti dioi dioi;hl;+;;;; | Changed urti dioi To urti dioi dioi 2012-11-27 16:08:07
tc6a;vibu lant;hl;+;;;;
tc7a;achn cala;hl;1;;;;
tc7a;alnu inca;sl;+;;;;
tc7a;betu pend;hl;+;;;;
tc7a;buph sali;hl;+;;;;
tc7a;clin nepe;hl;+;;;; | Changed cala neps To clin nepe 2012-11-27 16:08:08
tc7a;care humi;hl;1;;;;
tc7a;dauc caro caro;hl;+;;;; | Changed dauc caro To dauc caro caro 2012-11-27 14:15:27
tc7a;dory germ;hl;+;;;;
tc7a;drya octo;hl;+;;;;
tc7a;epip atro;hl;r;;;;
tc7a;eric carn;hl;+;;;; | Changed eric herb To eric carn 2012-11-27 16:08:03
tc7a;erig annu slat;hl;1;;;; | Changed erig annu To erig annu slat 2012-11-27 16:08:03
tc7a;fran alnu;hl;+;;;;
tc7a;glob cord;hl;+;;;;
tc7a;hier bifi;hl;+;;;;
tc7a;hier pilo ides;hl;+;;;; | Changed hier pilo To hier pilo ides 2012-11-27 16:08:08
tc7a;chlo stat;hl;1;;;; | Changed hier stat To chlo stat 2012-11-27 16:08:08
tc7a;juni comm comm;hl;+;;;; | Changed juni comm c To juni comm comm 2012-11-27 16:08:03
tc7a;leon hisp hyos;hl;2a;voucher;16;3; | Changed leon hyos To leon hisp hyos 2012-11-27 16:08:07
tc7a;moli caer aggr;hl;+;;;; | Changed moli caer a To moli caer aggr 2012-11-27 16:08:05
tc7a;pice abie;hl;r;;;;
tc7a;pinu sylv;hl;1;;;;
tc7a;pinu sylv;sl;+;;;;
tc7a;popu trem;hl;+;;;;
tc7a;popu trem;sl;+;;;;
tc7a;sali alba;hl;+;;;;
tc7a;sali alba;sl;+;;;;
tc7a;sali elea elea;hl;+;;;; | Changed sali elea To sali elea elea 2012-11-27 16:08:07
tc7a;sali elea elea;sl;2b;;;; | Changed sali elea To sali elea elea 2012-11-27 16:08:07
tc7a;sali purp;hl;+;;;;
tc7a;sali purp;sl;2a;;;;
tc7a;sang mino mino;hl;+;;;; | Changed sang mino mi To sang mino mino 2012-11-27 16:08:06
tc7a;teuc cham;hl;+;;;;
tc7a;teuc mont;hl;+;;;;
tc7a;thym prae prae;hl;+;;;; | Changed thym prae To thym prae prae 2012-11-27 16:08:07
tc7a;verb offi;hl;+;;;;
tc8a;achn cala;hl;2m;;;;
tc8a;amel oval;hl;+;;;;
tc8a;amel oval;sl;+;;;;
tc8a;anth ramo;hl;+;;;;
tc8a;berb vulg;hl;+;;;;
tc8a;berb vulg;sl;r;;;;
tc8a;buph sali;hl;1;;;;
tc8a;care humi;hl;2a;;;;
tc8a;colu arbo;hl;r;;;;
tc8a;dory germ;hl;1;;;;
tc8a;drya octo;hl;1;;;;
tc8a;epip atro;hl;+;;;;
tc8a;epip hell atro;hl;+;;;; | Changed epip x sc To epip hell atro 2012-11-27 16:08:06
tc8a;eric carn;hl;3;;;; | Changed eric herb To eric carn 2012-11-27 16:08:03
tc8a;euph cypa;hl;+;;;;
tc8a;fran alnu;hl;+;;;;
tc8a;fran alnu;sl;+;;;;
tc8a;gali luci;hl;+;;;;
tc8a;glob cord;hl;2a;;;;
tc8a;hier bifi;hl;+;;;;
tc8a;hier bupl;hl;+;;;;
tc8a;hier pilo ides;hl;+;;;; | Changed hier pilo To hier pilo ides 2012-11-27 16:08:08
tc8a;chlo stat;hl;1;;;; | Changed hier stat To chlo stat 2012-11-27 16:08:08
tc8a;juni comm comm;hl;1;;;; | Changed juni comm c To juni comm comm 2012-11-27 16:08:03
tc8a;juni comm comm;sl;2m;;;; | Changed juni comm c To juni comm comm 2012-11-27 16:08:03
tc8a;leon hisp hyos;hl;+;voucher;17;2; | Changed leon hyos To leon hisp hyos 2012-11-27 16:08:07
tc8a;leon inca;hl;+;;;;
tc8a;moli caer aggr;hl;1;;;; | Changed moli caer a To moli caer aggr 2012-11-27 16:08:05
tc8a;pinu mugo;hl;+;;;;
tc8a;pinu mugo;sl;1;;;;
tc8a;pinu sylv;hl;2a;;;;
tc8a;pinu sylv;sl;3;;;;
tc8a;pinu sylv;tl;1;;;;
tc8a;poly cham;hl;1;;;;
tc8a;pote pusi;hl;r;;;;
tc8a;rosa rubi;hl;+;;;;
tc8a;rosa rubi;sl;+;voucher;22;;
tc8a;sali elea elea;hl;+;;;; | Changed sali elea To sali elea elea 2012-11-27 16:08:07
tc8a;sali elea elea;sl;1;;;; | Changed sali elea To sali elea elea 2012-11-27 16:08:07
tc8a;scle puru;ml;1;;;;
tc8a;sesl caer;hl;1;;;; | Changed sesl vari To sesl caer 2012-11-27 16:08:05
tc8a;teuc mont;hl;1;;;;
tc8a;thym prae prae;hl;+;;;; | Changed thym prae To thym prae prae 2012-11-27 16:08:07
tc8a;tort tort;ml;+;;;;
tc8a;vacc viti;hl;+;;;;
tc8a;vinc hiru;hl;+;;;;
tc9a;achn cala;hl;1;;;;
tc9a;amel oval;hl;+;;;;
tc9a;amel oval;sl;+;;;;
tc9a;anth ramo;hl;+;;;;
tc9a;berb vulg;hl;+;;;;
tc9a;berb vulg;sl;+;;;;
tc9a;brac rupe;hl;+;;;;
tc9a;cala vari;hl;+;;;;
tc9a;care alba;hl;2m;;;;
tc9a;ceph long;hl;+;;;;
tc9a;cory avel;hl;1;;;;
tc9a;crat mono;hl;+;;;;
tc9a;crat mono;sl;+;;;;
tc9a;dory germ;hl;+;;;;
tc9a;epip hell slat;hl;+;;;; | Changed epip hell To epip hell slat 2012-11-27 16:08:03
tc9a;eric carn;hl;5;;;; | Changed eric herb To eric carn 2012-11-27 16:08:03
tc9a;euph cypa;hl;+;;;;
tc9a;frag mosc;hl;+;;;;
tc9a;frag vesc;hl;+;;;;
tc9a;fran alnu;hl;1;;;;
tc9a;fran alnu;sl;1;;;;
tc9a;gali bore;hl;+;;;;
tc9a;gali luci;hl;+;;;;
tc9a;hier muro;hl;+;;;; | Changed hier sylv To hier muro 2012-11-27 16:08:03
tc9a;hylo sple;ml;+;;;;
tc9a;jugl regi;hl;+;;;;
tc9a;jugl regi;sl;+;;;;
tc9a;juni comm comm;hl;2m;;;; | Changed juni comm c To juni comm comm 2012-11-27 16:08:03
tc9a;juni comm comm;sl;2a;;;; | Changed juni comm c To juni comm comm 2012-11-27 16:08:03
tc9a;leon hisp hyos;hl;+;;;; | Changed leon hyos To leon hisp hyos 2012-11-27 16:08:07
tc9a;leon inca;hl;+;;;;
tc9a;ligu vulg;hl;+;;;;
tc9a;loni xylo;hl;+;;;;
tc9a;loni xylo;sl;+;;;;
tc9a;mela prat;hl;+;;;;
tc9a;pice abie;hl;+;;;;
tc9a;pice abie;sl;+;;;;
tc9a;pice abie;tl;+;;;;
tc9a;pinu sylv;tl;4;;;;
tc9a;pleu schr;ml;2a;;;;
tc9a;poly cham;hl;1;;;;
tc9a;pote erec;hl;+;;;;
tc9a;rham saxa saxa;hl;+;;;; | Changed rham saxa To rham saxa saxa 2012-11-27 16:08:08
tc9a;rhyt triq;ml;2m;;;;
tc9a;rosa micr;hl;+;;;;
tc9a;soli virg virg;hl;+;;;; | Changed soli virg To soli virg virg 2012-11-27 16:08:03
tc9a;sorb aria;hl;+;;;;
tc9a;sorb aucu aucu;hl;+;;;; | Changed sorb aucu To sorb aucu aucu 2012-11-27 16:08:07
tc9a;teuc mont;hl;+;;;;
tc9a;vinc hiru;hl;+;;;;
tc9a;viol hirt;hl;r;;;;
tc9a;visc laxu laxu;tl;2m;;;; | Changed visc laxu To visc laxu laxu 2012-11-27 16:08:06
tc9b;achn cala;hl;2a;;;;
tc9b;amel oval;hl;+;;;;
tc9b;anth ramo;hl;+;;;;
tc9b;berb vulg;hl;+;;;;
tc9b;berb vulg;sl;+;;;;
tc9b;bisc laev laev;hl;+;;;; | Changed bisc laev To bisc laev laev 2012-11-27 16:08:05
tc9b;buph sali;hl;2a;;;;
tc9b;camp rotu;hl;+;;;;
tc9b;card defl viri;hl;1;;;; | Changed card defl To card defl viri 2012-11-27 16:08:03
tc9b;care humi;hl;2b;;;;
tc9b;carl vulg vulg;hl;+;;;; | Changed carl vulg To carl vulg vulg 2012-11-27 16:08:03
tc9b;cory avel;hl;+;;;;
tc9b;dory germ;hl;2a;;;;
tc9b;epip atro;hl;1;;;;
tc9b;epip hell atro;hl;+;;;; | Changed epip x sc To epip hell atro 2012-11-27 16:08:06
tc9b;eric carn;hl;4;;;; | Changed eric herb To eric carn 2012-11-27 16:08:03
tc9b;euph cypa;hl;+;;;;
tc9b;fran alnu;hl;+;;;;
tc9b;glob cord;hl;+;;;;
tc9b;good repe;hl;r;;;;
tc9b;hier bifi;hl;1;;;;
tc9b;hier pilo ides;hl;+;;;; | Changed hier pilo To hier pilo ides 2012-11-27 16:08:08
tc9b;chlo stat;hl;+;;;; | Changed hier stat To chlo stat 2012-11-27 16:08:08
tc9b;juni comm comm;hl;1;;;; | Changed juni comm c To juni comm comm 2012-11-27 16:08:03
tc9b;juni comm comm;sl;+;;;; | Changed juni comm c To juni comm comm 2012-11-27 16:08:03
tc9b;lact pere;hl;1;;;;
tc9b;leon hisp hyos;hl;1;;;; | Changed leon hyos To leon hisp hyos 2012-11-27 16:08:07
tc9b;leon inca;hl;1;;;;
tc9b;mela sylv;hl;+;;;;
tc9b;pinu sylv;hl;1;;;;
tc9b;pinu sylv;sl;2b;;;;
tc9b;pinu sylv;tl;3;;;;
tc9b;pleu schr;ml;+;;;;
tc9b;poly cham;hl;+;;;;
tc9b;prun cera ifera;hl;r;;;; | Changed prun cers To prun cera ifera 2012-11-27 16:08:07
tc9b;rham saxa saxa;hl;+;;;; | Changed rham saxa To rham saxa saxa 2012-11-27 16:08:08
tc9b;sali elea elea;hl;+;;;; | Changed sali elea To sali elea elea 2012-11-27 16:08:07
tc9b;sesl caer;hl;+;;;; | Changed sesl vari To sesl caer 2012-11-27 16:08:05
tc9b;soli virg virg;hl;+;;;; | Changed soli virg To soli virg virg 2012-11-27 16:08:03
tc9b;teuc mont;hl;1;;;;
tc9b;tort tort;hl;2a;;;;
tc9b;vacc viti;hl;+;;;;
tc9b;vinc hiru;hl;1;;;;
tc9b;visc laxu laxu;tl;+;;;; | Changed visc laxu To visc laxu laxu 2012-11-27 16:08:06
tc9c;achn cala;hl;1;;;;
tc9c;amel oval;hl;+;;;;
tc9c;anth ramo;hl;+;;;;
tc9c;berb vulg;hl;+;;;;
tc9c;berb vulg;sl;+;;;;
tc9c;bisc laev laev;hl;+;;;; | Changed bisc laev To bisc laev laev 2012-11-27 16:08:05
tc9c;buph sali;hl;1;;;;
tc9c;camp rotu;hl;+;;;;
tc9c;care humi;hl;2a;;;;
tc9c;carl vulg vulg;hl;+;;;; | Changed carl vulg To carl vulg vulg 2012-11-27 16:08:03
tc9c;dicr scop;ml;+;;;;
tc9c;dory germ;hl;1;;;;
tc9c;epip atro;hl;+;;;;
tc9c;epip hell atro;hl;+;;;; | Changed epip x sc To epip hell atro 2012-11-27 16:08:06
tc9c;eric carn;hl;5;;;; | Changed eric herb To eric carn 2012-11-27 16:08:03
tc9c;euph sali;hl;+;;;;
tc9c;fran alnu;hl;2m;;;;
tc9c;hier bifi;hl;+;;;;
tc9c;hipp como;hl;+;;;;
tc9c;jugl regi;hl;r;;;;
tc9c;juni comm comm;hl;2a;;;; | Changed juni comm c To juni comm comm 2012-11-27 16:08:03
tc9c;juni comm comm;sl;+;;;; | Changed juni comm c To juni comm comm 2012-11-27 16:08:03
tc9c;leon hisp hyos;hl;+;;;; | Changed leon hyos To leon hisp hyos 2012-11-27 16:08:07
tc9c;leon inca;hl;+;;;;
tc9c;mela prat;hl;+;;;;
tc9c;pinu sylv;hl;2a;;;;
tc9c;pinu sylv;sl;2b;;;;
tc9c;pinu sylv;tl;3;;;;
tc9c;pleu schr;ml;2m;;;;
tc9c;poly cham;hl;1;;;;
tc9c;rhyt triq;ml;1;;;;
tc9c;rosa micr;hl;+;voucher;23;;
tc9c;scle puru;ml;1;;;;
tc9c;sesl caer;hl;+;;;; | Changed sesl vari To sesl caer 2012-11-27 16:08:05
tc9c;soli virg virg;hl;+;;;; | Changed soli virg To soli virg virg 2012-11-27 16:08:03
tc9c;sorb aria;hl;+;;;;
tc9c;teuc mont;hl;+;;;;
tc9c;vacc viti;hl;1;;;;
tc9c;vinc hiru;hl;1;;;;
tc9c;visc laxu laxu;tl;+;;;; | Changed visc laxu To visc laxu laxu 2012-11-27 16:08:06
tcq1;briz medi;hl;+;;;;
tcq1;call cusp;ml;1;;;;
tcq1;calt palu;hl;+;;;;
tcq1;care dava;hl;1;;;;
tcq1;care elat;hl;2b;;;;
tcq1;care flav aggr;hl;1;;;; | Changed care flav To care flav aggr 2012-11-27 16:08:08
tcq1;care host;hl;+;;;;
tcq1;care lepi;hl;2a;;;;
tcq1;care oede;hl;+;;;;
tcq1;care pani;hl;2a;;;;
tcq1;cirs palu;hl;+;;;;
tcq1;dact inca inca;hl;+;;;; | Changed dact inca To dact inca inca 2012-11-27 16:08:06
tcq1;scor coss;ml;1;;;; | Changed drep coso To scor coss 2012-11-27 16:08:05
tcq1;epip palu;hl;1;;;;
tcq1;fest tric;hl;1;;;;
tcq1;gali ulig;hl;+;;;;
tcq1;gymn cono cono;hl;+;;;; | Changed gymn cono To gymn cono cono 2012-11-27 16:08:05
tcq1;lath prat prat;hl;+;;;; | Changed lath prat To lath prat prat 2012-11-27 16:08:04
tcq1;lysi vulg;hl;+;;;;
tcq1;meny trif;hl;2a;;;;
tcq1;moli caer aggr;hl;2a;;;; | Changed moli caer a To moli caer aggr 2012-11-27 16:08:05
tcq1;parn palu;hl;1;;;;
tcq1;pedi palu palu;hl;r;;;; | Changed pedi palu To pedi palu palu 2012-11-27 16:08:08
tcq1;phra aust;hl;2m;;;;
tcq1;pinu sylv;hl;+;;;;
tcq1;prim fari;hl;+;;;;
tcq1;prun vulg;hl;+;;;;
tcq1;ranu nemo;hl;+;;;;
tcq1;sali repe rosm;hl;+;;;; | Changed sali rosm To sali repe rosm 2012-11-27 16:08:05
tcq1;scho ferr;hl;+;;;;
tcq1;sesl caer;hl;+;;;; | Changed sesl vari To sesl caer 2012-11-27 16:08:05
