taxon;abbr;layer;comment;3-W-Fe;4-Wi-Fe;5-Wi-Fe;6-Wi-Fe;7-Wi-Fe;20-Wi-F;21-G-F;21b-W-F;22-W-F;22b-G-F;38-F-G;39-F-W;40-F-W;41-F-Wi;42-F-W;43-F-W;61-V-F;62-G-F;63-G-F;64-W-F;65-W-F;66-W-F;67-G-F;68-W-M;69-W-M;70-W-F;71-W-F;72-W-F;73-TR-F;74-G-F;75-W-F;76-Wi-F;77-G-F;77a-G-F;87-G-F;87a-G-F;88-W-F;89-W-F;90-G-F
Prunus padus;prun padu padu;tl2;;;;;;;;;2a;2a;2a;;;;;4;;;;2b;3;2a;2a;2a;;;;;;;;2a;;;;;;;;
Prunus spinosa;prun spin;sl;;;;;;;;2a;;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;;
Pulmonaria officinalis;pulm offi;hl;;;;;;;;;2a;2a;;;;;;;;;;;;;2a;;;;+;;+;;;;;;;;;;;
Quercus robur;quer robu;tl1;;;;;;;;;2a;;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;;
Quercus robur;quer robu;tl2;;;;;;;;2a;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;
Quercus robur;quer robu;hl;;;;;;;;;r;;;;;;;+;;;;;;;+;;;;;;;+;;;;;;;;;;
Ranunculus acris;ranu acri acri;hl;;+;+;+;;2a;2a;;+;+;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;
Rhamnus cathartica;rham cath;sl;;;;;;;;2b;;2a;;;;;;;;;;;;;;;;;;;;;;;;2a;;;2a;;;
Rhinanthus alectorolophus;rhin alec alec;hl;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rubus caesisus;rubu caes;hl;;;;;;;;2b;2a;2a;2b;2b;;;2a;;;;;2a;3;4;2a;;;2a;3;;;;2b;3;;;;;;;2b;
Rumex obtusifolius;rume obtu slat;hl;;+;r;+;2a;2a;;;;;;+;;;;;;;;;+;;;;;;;;;;;;;;;;;;;
Salix alba;sali alba;tl1;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salix alba;sali alba;tl2;;;;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;3;;;;;;2a;2a;;
Salix alba;sali alba;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salix eleagnos;sali elea elea;tl1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;;;;
Salix eleagnos;sali elea elea;tl2;;;;;;;;;;;2a;;;;;;;;;2b;;2a;;2a;;;;2a;;;;;;;2b;;2a;;;
Salix eleagnos;sali elea elea;sl;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;4;3;3;2a;;;
Salix fragilis;sali frag;tl2;;;;;;;;;;;;;;;;2b;;;;;2b;;;;;;;;;;;;;;2b;2a;;;;
Salix purpurea;sali purp;tl2;;;;;;;;;;;;;;;;;;;;;;2a;;;;;;2b;;;2a;;;;;3;;2a;;
