plot,cov,hcov,mcov,hhl1,hhl2,scov,hsl,t1cov,t2cov,htl1,htl2,plsx,plsy,aspect,slope,rock,bare,stones,date,longitude,latitude,accuracy,elevation,ffh.code,alliance.code,alliance,geology1,geology2,comment,locality,habitat,observer
rk071,3,3,0,"0,15","0,2",0,0,0,0,0,0,4,4,SE,35,0,0,0,2018-07-02,13.23000,46.69149,10,1066,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Gitschtal, Motschniggraben",montane Kalk-Schutthalde,R. Kaiser
rk072,2,2,0,"0,1","0,2",0,0,0,0,0,0,4,4,SSE,35,0,0,0,2018-07-02,13.22939,46.69140,10,1080,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Gitschtal, Motschniggraben",montane Kalk-Schutthalde,R. Kaiser
rk073,1,1,0,"0,05","0,2",0,0,0,0,0,0,4,4,SSE,40,0,0,0,2018-07-02,13.22897,46.69195,10,1129,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Gitschtal, Motschniggraben",montane Kalk-Schutthalde,R. Kaiser
rk074,3,3,0,"0,02","0,1",0,0,0,0,0,0,4,4,SSE,35,0,0,0,2018-07-02,13.22994,46.69173,10,1088,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Gitschtal, Motschniggraben",montane Kalk-Schutthalde,R. Kaiser
rk075,2,2,0,"0,02","0,1",0,0,0,0,0,0,4,4,S,30,0,0,0,2018-07-03,13.40928,46.64309,10,1118,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Gailtaler Alpen, Spitzegel S-Hang",montane Kalk-Schutthalde,R. Kaiser
rk076,5,5,0,"0,02","0,2",0,0,0,0,0,0,4,4,S,30,0,0,0,2018-07-03,13.40915,46.64331,10,1130,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Gailtaler Alpen, Spitzegel S-Hang",montane Kalk-Schutthalde,R. Kaiser
rk077,4,4,0,"0,03",15,0,0,0,0,0,0,4,4,S,30,0,0,0,2018-07-03,13.40917,46.64404,10,1177,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Gailtaler Alpen, Spitzegel S-Hang",montane Kalk-Schutthalde,R. Kaiser
rk078,5,5,0,"0,02","0,1",0,0,0,0,0,0,4,4,S,30,0,0,0,2018-07-03,13.40902,46.64511,10,1252,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Gailtaler Alpen, Spitzegel S-Hang",montane Kalk-Schutthalde,R. Kaiser
rk079,1,1,0,"0,05","0,1",0,0,0,0,0,0,4,4,S,30,0,0,0,2018-07-03,13.40807,46.64575,10,1296,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Gailtaler Alpen, Spitzegel S-Hang",montane Kalk-Schutthalde,R. Kaiser
rk080,1,1,0,"0,01","0,15",0,0,0,0,0,0,4,4,SSW,30,0,0,0,2018-07-03,13.40781,46.64612,10,1317,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Gailtaler Alpen, Spitzegel S-Hang",montane Kalk-Schutthalde,R. Kaiser
